Date,Open,High,Low,Close,Adj Close,Volume
2015-11-27,525.000000,534.825012,523.099976,533.150024,465.376556,234744
2015-11-30,535.000000,549.000000,528.000000,544.224976,475.043671,300878
2015-12-01,544.250000,546.525024,536.000000,538.325012,469.893707,206418
2015-12-02,541.000000,541.000000,529.025024,530.099976,462.714203,200834
2015-12-03,531.250000,532.625000,525.000000,528.000000,460.881195,354260
2015-12-04,526.500000,531.799988,520.450012,523.900024,457.302429,627738
2015-12-07,526.000000,529.275024,520.125000,522.924988,456.451294,179544
2015-12-08,522.500000,531.000000,520.549988,522.474976,456.058533,185192
2015-12-09,522.000000,523.799988,511.750000,514.674988,449.250000,742714
2015-12-10,517.549988,525.750000,515.224976,523.200012,456.691345,429594
2015-12-11,525.049988,530.450012,523.000000,526.174988,459.288147,366480
2015-12-14,525.000000,536.650024,524.500000,534.750000,466.773102,304450
2015-12-15,537.500000,539.900024,529.075012,538.450012,470.002838,244454
2015-12-16,540.000000,548.900024,540.000000,547.700012,478.076935,228204
2015-12-17,550.000000,555.000000,544.000000,553.474976,483.117798,478466
2015-12-18,549.000000,551.474976,540.049988,542.974976,473.952545,362608
2015-12-21,537.500000,552.375000,535.450012,551.000000,480.957397,226296
2015-12-22,550.000000,550.000000,540.250000,541.799988,472.926910,203308
2015-12-23,544.000000,550.000000,543.500000,549.000000,479.211639,169938
2015-12-24,550.000000,551.700012,545.200012,547.924988,478.273376,89454
2015-12-28,546.349976,553.799988,545.000000,550.825012,480.804718,159150
2015-12-29,550.549988,554.825012,548.750000,551.875000,481.721191,112406
2015-12-30,550.000000,553.174988,541.750000,543.025024,473.996185,182804
2015-12-31,544.000000,554.500000,544.000000,552.275024,482.070404,161366
2016-01-01,550.000000,554.450012,547.150024,551.575012,481.459351,108246
2016-01-04,551.575012,551.575012,538.750000,540.299988,471.617584,173522
2016-01-05,541.500000,544.000000,531.500000,537.400024,469.086273,236656
2016-01-06,536.500000,537.250000,529.549988,534.724976,466.751251,216180
2016-01-07,530.000000,533.974976,524.150024,525.625000,458.808075,192644
2016-01-08,528.000000,534.250000,527.950012,531.325012,463.783569,168836
2016-01-11,530.000000,534.724976,526.250000,528.549988,461.361237,515436
2016-01-12,529.500000,530.750000,515.924988,525.025024,458.284393,279796
2016-01-13,525.000000,545.000000,523.799988,541.174988,472.381409,492856
2016-01-14,534.000000,577.500000,527.474976,564.349976,492.610321,3483380
